URN,UKPRN,TypeOfEstablishment (name)
100823,10079612,Voluntary aided school
100824,10071709,Voluntary aided school
100825,10071708,Voluntary aided school
100826,10071707,Voluntary aided school
100827,10074723,Voluntary aided school
100828,10071706,Voluntary aided school
100829,10076248,Voluntary aided school
100830,10071434,Voluntary aided school
100831,10074722,Voluntary aided school
100832,10071705,Voluntary aided school
100833,10071704,Voluntary aided school
100834,10075798,Voluntary aided school
100835,10071433,Voluntary aided school
100836,10074721,Voluntary aided school
100837,10074023,Voluntary aided school
100838,10074022,Voluntary aided school
100839,10074021,Voluntary aided school
100840,10074020,Voluntary aided school
100841,10071703,Voluntary aided school
100842,,Community school
100843,10007329,Community school
100844,10003667,Foundation school
100845,,Community school
100846,,Community school
100847,10015305,Community school
100848,,Community school
100849,10006256,Voluntary aided school
100850,10000343,Voluntary aided school
100851,10071702,Voluntary aided school
100852,10071701,Voluntary aided school
100853,10075797,Voluntary aided school
100854,10079611,Voluntary aided school
100855,10069598,Foundation school
100856,,Foundation school
100857,10016208,Voluntary aided school
100858,10013573,Voluntary aided school
100859,10016723,Voluntary aided school
100860,10010937,Voluntary aided school
100861,10015447,Other independent school
100862,10015655,Other independent school
100863,10008297,Other independent school
100864,10008065,Other independent school
100865,,Other independent school
100866,10080808,Other independent school
100867,,Other independent school
100868,,Other independent school
100869,,Other independent school
100870,,Other independent school
100871,10017069,City technology college
100872,10015744,Community special school
100873,10017673,Community special school
100874,10015141,Community special school
100875,10017014,Community special school
100876,10014853,Community special school
100877,,Community special school
100878,10077049,Community special school
100879,10077048,Community special school
100880,10015953,Community special school
100881,10077047,Community special school
100882,,Local authority nursery school
100883,,Local authority nursery school
100884,,Local authority nursery school
100885,,Local authority nursery school
100886,,Local authority nursery school
100887,,Local authority nursery school
100888,,Local authority nursery school
100889,10016925,Pupil referral unit
100890,10079724,Community school
100891,10070038,Community school
100892,10079723,Community school
100893,10074598,Community school
100894,10061422,Community school
100895,10075068,Community school
100896,10074597,Community school
100897,10074596,Community school
100898,10075067,Community school
100899,,Community school
100900,10072912,Community school
100901,,Community school
100902,10072911,Community school
100903,10072910,Community school
100904,10074595,Community school
100905,,Community school
100906,10074594,Community school
100907,10075066,Community school
100908,10071957,Community school
100909,,Community school
100910,,Community school
100911,10074593,Community school
100912,10074592,Community school
100913,10074591,Community school
100914,10074590,Community school
100915,10071956,Community school
100916,10074589,Community school
100917,10074588,Community school
100918,,Community school
100919,,Community school
100920,10074587,Community school
100921,,Community school
100922,,Community school
100923,10074586,Community school
100924,,Community school
100925,,Community school
100926,10074585,Community school
100927,10071342,Community school
100928,10071341,Community school
100929,,Community school
100930,10071340,Community school
100931,10079722,Community school
100932,10071955,Community school
100933,,Community school
100934,10071339,Community school
100935,10071338,Community school
100936,10071337,Community school
100937,10072909,Community school
100938,10071336,Community school
100939,10071335,Community school
100940,10071334,Community school
100941,10071333,Community school
100942,10046669,Community school
100943,10071332,Community school
100944,10074019,Voluntary aided school
100945,10071700,Voluntary aided school
100946,10074720,Voluntary aided school
100947,,Voluntary aided school
100948,,Voluntary aided school
100949,10071699,Voluntary aided school
100950,10071698,Voluntary aided school
100951,10071697,Voluntary aided school
100952,,Voluntary aided school
100953,10074018,Voluntary aided school
100954,10074017,Voluntary aided school
100955,,Voluntary aided school
100956,10074016,Voluntary aided school
100957,,Voluntary aided school
100958,10074015,Voluntary aided school
100959,10069852,Voluntary aided school
100960,10074014,Voluntary aided school
100961,10074013,Voluntary aided school
100962,10071696,Voluntary aided school
100963,,Voluntary aided school
100964,,Voluntary aided school
100965,10015151,Community school
100966,10016327,Community school
100967,10016609,Community school
100968,10004465,Community school
100969,10017702,Community school
100970,10031427,Foundation school
100971,10017041,Community school
100972,10016774,Community school
100973,10017775,Community school
100974,10002663,Voluntary controlled school
100975,10001258,Voluntary aided school
100976,,Voluntary aided school
100977,10005863,Voluntary aided school
100978,10010917,Voluntary aided school
100979,10005371,Voluntary aided school
100980,10077625,Other independent school
100981,,Other independent school
100982,10016424,Other independent school
100983,,Community special school
100984,,Community special school
100985,10018095,Community special school
100986,10015057,Community special school
100987,10017197,Community special school
100988,,Community special school
100989,10017234,Community special school
100990,,Local authority nursery school
100991,,Local authority nursery school
100992,,Local authority nursery school
100993,,Pupil referral unit
100994,10016689,Pupil referral unit
100995,10071331,Community school
100996,10071330,Community school
100997,10046788,Community school
100998,,Community school
100999,,Community school
101000,,Community school
101001,10071329,Community school
101002,10071328,Community school
101003,,Community school
101004,10069597,Foundation school
101005,10071327,Community school
101006,10071326,Community school
101007,10071325,Community school
101008,,Community school
101009,10072908,Community school
101010,,Community school
101011,10069596,Foundation school
101012,10078299,Foundation school
101013,10071324,Community school
101014,10071323,Community school
101015,,Community school
101016,10071322,Community school
101017,10071321,Community school
101018,10071320,Community school
101019,10072907,Community school
101020,10071319,Community school
101021,10072906,Community school
101022,10071318,Community school
101023,,Community school
101024,10071317,Community school
101025,,Community school
101026,10071316,Community school
101027,10072905,Community school
101028,10071315,Community school
101029,10071314,Community school
101030,,Community school
101031,10071313,Community school
101032,10069595,Foundation school
101033,,Community school
101034,10074012,Voluntary aided school
101035,10075796,Voluntary aided school
101036,10071695,Voluntary aided school
101037,10071694,Voluntary aided school
101038,10074011,Voluntary aided school
101039,,Voluntary aided school
101040,,Voluntary aided school
101041,10074010,Voluntary aided school
101042,10071693,Voluntary aided school
101043,10074009,Voluntary aided school
101044,10074008,Voluntary aided school
101045,10071692,Voluntary aided school
101046,10074007,Voluntary aided school
101047,10074006,Voluntary aided school
101048,10071691,Voluntary aided school
101049,10074719,Voluntary aided school
101050,10071690,Voluntary aided school
101051,10071689,Voluntary aided school
101052,10071688,Voluntary aided school
101053,10002311,Community school
101054,10001380,Foundation school
101055,10000572,Foundation school
101056,,Foundation school
101057,10073711,Foundation school
101058,10002744,Foundation school
101059,10001002,Foundation school
101060,10002225,Foundation school
101061,10017347,Voluntary aided school
101062,10015973,Voluntary aided school
101063,10006034,Foundation school
101064,10015967,Other independent school
101065,10080806,Other independent school
101066,,Other independent school
101067,10072287,Other independent school
101068,,Other independent school
101069,10018531,Other independent school
101070,,Other independent school
101071,10008222,Other independent school
101072,10008443,Other independent school
101073,10015829,Other independent school
101074,10018447,Other independent school
101075,10079902,Other independent school
101076,10072286,Other independent school
101077,10018542,Other independent special school
101078,10072285,Other independent school
101079,,Other independent school
101080,10079901,Other independent school
101081,10077624,Other independent school
101082,10018797,Other independent school
101083,,Other independent school
101084,10079900,Other independent school
101085,,Other independent school
101086,10015533,Other independent school
101087,10080805,Other independent school
101088,10018731,Other independent school
101089,10018452,Other independent school
101090,10014868,Other independent school
101091,10079899,Other independent school
101092,10007883,City technology college
101093,10016297,Community special school
101094,10004829,Community special school
101095,10015137,Community special school
101096,,Community special school
101097,,Community special school
101098,10015185,Community special school
101099,10077046,Community special school
101100,,Community special school
101101,,Community special school
101102,10016904,Community special school
101103,10015711,Community special school
101104,,Local authority nursery school
101105,,Local authority nursery school
101106,,Local authority nursery school
101107,10075065,Community school
101108,,Community school
101109,,Community school
101110,10072904,Community school
101111,10070037,Community school
101112,,Community school
101113,,Community school
101114,,Community school
101115,10071312,Community school
101116,10070036,Community school
101117,10071954,Community school
101118,,Community school
101119,,Community school
101120,10071311,Community school
101121,10074005,Voluntary aided school
101122,10074004,Voluntary aided school
101123,10075795,Voluntary aided school
101124,10071687,Voluntary aided school
101125,10074003,Voluntary aided school
101126,10074718,Voluntary aided school
101127,10074002,Voluntary aided school
101128,10071686,Voluntary aided school
101129,10071432,Voluntary aided school
101130,10074717,Voluntary aided school
101131,10056725,Voluntary aided school
101132,10074001,Voluntary aided school
101133,10071685,Voluntary aided school
101134,10071431,Voluntary aided school
101135,10074000,Voluntary aided school
101136,10073999,Voluntary aided school
101137,10071684,Voluntary aided school
101138,10073998,Voluntary aided school
101139,10071430,Voluntary aided school
101140,10073997,Voluntary aided school
101141,10073996,Voluntary aided school
101142,10073995,Voluntary aided school
101143,10071683,Voluntary aided school
101144,10071682,Voluntary aided school
101145,,Voluntary aided school
101146,10071681,Voluntary aided school
101147,10073994,Voluntary aided school
101148,10005102,Community school
