URN,UKPRN,TypeOfEstablishment (name)
101149,10005354,Foundation school
101150,,Community school
101151,10002788,Voluntary aided school
101152,10006228,Voluntary aided school
101153,10007451,Voluntary aided school
101154,10006278,Voluntary aided school
101155,10017016,Voluntary aided school
101156,10018625,Other independent school
101157,10008447,Other independent school
101158,10043880,Other independent school
101159,10015545,Other independent school
101160,10080804,Other independent school
101161,10043881,Other independent school
101162,10007456,Other independent school
101163,10018590,Other independent school
101164,10072284,Other independent school
101165,10015576,Other independent school
101166,10015604,Other independent school
101167,,Other independent school
101168,10017730,Other independent school
101169,10077623,Other independent school
101170,,Other independent school
101171,10017851,Other independent school
101172,10017587,Other independent school
101173,10014905,Other independent special school
101174,10080803,Other independent school
101175,10015193,Other independent special school
101176,10079898,Other independent school
101177,10018702,Other independent school
101178,10032843,Other independent school
101179,,Other independent school
101180,,Other independent school
101181,10014978,Other independent school
101182,10015068,Community special school
101183,,Community special school
101184,10017522,Community special school
101185,,Community school
101186,,Community school
101187,,Community school
101188,10071953,Community school
101189,,Community school
101190,,Community school
101191,,Community school
101192,10075064,Community school
101193,10071310,Community school
101194,,Community school
101195,,Community school
101196,10072903,Community school
101197,,Community school
101198,10072902,Community school
101199,,Community school
101200,,Community school
101201,,Community school
101202,10071309,Community school
101203,10071952,Community school
101204,,Community school
101205,,Community school
101206,10071308,Community school
101207,,Community school
101208,,Community school
101209,,Community school
101210,10071951,Community school
101211,10071307,Community school
101212,10071306,Community school
101213,,Community school
101214,,Community school
101215,,Community school
101216,10072901,Community school
101217,,Community school
101218,,Community school
101219,10075063,Community school
101220,10071305,Community school
101221,,Community school
101222,10072900,Community school
101223,10080725,Community school
101224,10075062,Community school
101225,,Community school
101226,10072899,Community school
101227,10071304,Community school
101228,10072898,Community school
101229,10071303,Community school
101230,10071302,Community school
101231,10071301,Community school
101232,10072897,Community school
101233,,Voluntary aided school
101234,10071429,Voluntary aided school
101235,10071680,Voluntary aided school
101236,10071679,Voluntary aided school
101237,10070151,Voluntary aided school
101238,10075852,Voluntary aided school
101239,10071678,Voluntary aided school
101240,10006849,Community school
101241,10000527,Community school
101242,10001826,Community school
101243,10002138,Community school
101244,10002139,Community school
101245,10005499,Community school
101246,10006824,Community school
101247,10000222,Voluntary aided school
101248,,Community special school
101249,,Community special school
101250,,Community special school
101251,10052623,Local authority nursery school
101252,,Local authority nursery school
101253,,Local authority nursery school
101254,,Local authority nursery school
101255,10016933,Pupil referral unit
101256,,Pupil referral unit
101257,,Community school
101258,10071300,Community school
101259,10070035,Community school
101260,,Community school
101261,,Community school
101262,10075061,Community school
101263,10071950,Community school
101264,10071299,Community school
101265,10072896,Community school
101266,10079721,Community school
101267,,Community school
101268,,Community school
101269,10072895,Community school
101270,10028131,Community school
